0	0.000105553
0.06	9.98E-05
0.12	9.23E-05
0.18	8.24E-05
0.24	7.20E-05
0.3	6.15E-05
0.36	5.10E-05
0.42	4.07E-05
0.48	3.06E-05
0.54	2.13E-05
0.6	1.34E-05
0.66	7.50E-06
0.72	3.73E-06
0.78	1.73E-06
0.84	8.59E-07
0.9	5.20E-07
0.96	3.82E-07
1.02	3.13E-07
1.08	2.66E-07
1.14	2.35E-07
1.2	2.17E-07
1.26	2.09E-07
1.32	2.02E-07
1.38	1.89E-07
1.44	1.78E-07
1.5	1.69E-07
1.56	1.64E-07
1.62	1.57E-07
1.68	1.50E-07
1.74	1.43E-07
1.8	1.38E-07
1.86	1.33E-07
1.92	1.29E-07
1.98	1.24E-07
2.04	1.22E-07
2.1	1.23E-07
2.16	1.23E-07
2.22	1.23E-07
2.28	1.19E-07
2.34	1.16E-07
2.4	1.09E-07
2.46	1.06E-07
2.52	1.04E-07
2.58	1.04E-07
2.64	1.05E-07
2.7	1.05E-07
2.76	1.09E-07
2.82	1.12E-07
2.88	1.08E-07
2.94	9.91E-08
3	8.61E-08
